./lib/chinese.js: line 60, col 11, Duplicate key '𢞎'.
./lib/chinese.js: line 91, col 10, Duplicate key '㯅'.
./lib/chinese.js: line 94, col 10, Duplicate key '㱸'.
./lib/chinese.js: line 138, col 10, Duplicate key '䍌'.
./lib/chinese.js: line 142, col 10, Duplicate key '䍌'.
./lib/chinese.js: line 170, col 10, Duplicate key '䆃'.
./lib/chinese.js: line 212, col 10, Duplicate key '䅊'.
./lib/chinese.js: line 219, col 11, Duplicate key '𠗨'.
./lib/chinese.js: line 248, col 10, Duplicate key '㶣'.
./lib/chinese.js: line 252, col 10, Duplicate key '㙷'.
./lib/chinese.js: line 258, col 10, Duplicate key '㾻'.
./lib/chinese.js: line 267, col 11, Duplicate key '𦁆'.
./lib/chinese.js: line 293, col 10, Duplicate key '㡒'.
./lib/chinese.js: line 353, col 10, Duplicate key '㧘'.
./lib/chinese.js: line 368, col 11, Duplicate key '𡎻'.
./lib/chinese.js: line 373, col 10, Duplicate key '㓽'.
./lib/chinese.js: line 375, col 11, Duplicate key '𠊩'.
./lib/chinese.js: line 392, col 10, Duplicate key '䊓'.
./lib/chinese.js: line 404, col 10, Duplicate key '㨁'.
./lib/chinese.js: line 408, col 10, Duplicate key '㒔'.
./lib/chinese.js: line 417, col 10, Duplicate key '䅜'.
./lib/chinese.js: line 433, col 10, Duplicate key '㙠'.
./lib/chinese.js: line 438, col 11, Duplicate key '𥈔'.
./lib/chinese.js: line 466, col 10, Duplicate key '㧘'.
./lib/chinese.js: line 469, col 10, Duplicate key '㭘'.
./lib/chinese.js: line 481, col 11, Duplicate key '𥎊'.
./lib/chinese.js: line 510, col 11, Duplicate key '𢜽'.
./lib/chinese.js: line 515, col 11, Duplicate key '𠊾'.
./lib/chinese.js: line 525, col 10, Duplicate key '㤊'.
./lib/chinese.js: line 563, col 11, Duplicate key '𣒃'.
./lib/chinese.js: line 564, col 10, Duplicate key '㺌'.
./lib/chinese.js: line 569, col 11, Duplicate key '𠗉'.
./lib/chinese.js: line 571, col 10, Duplicate key '㹂'.
./lib/chinese.js: line 574, col 10, Duplicate key '㘋'.
./lib/chinese.js: line 581, col 11, Duplicate key '𤸫'.
./lib/chinese.js: line 593, col 11, Duplicate key '𤜂'.
./lib/chinese.js: line 612, col 10, Duplicate key '㭘'.
./lib/chinese.js: line 615, col 10, Duplicate key '㿥'.
./lib/chinese.js: line 641, col 11, Duplicate key '𣇭'.
./lib/chinese.js: line 657, col 10, Duplicate key '㧒'.
./lib/chinese.js: line 665, col 10, Duplicate key '㿄'.
./lib/chinese.js: line 682, col 10, Duplicate key '㿮'.
./lib/chinese.js: line 689, col 11, Duplicate key '𥈔'.
./lib/chinese.js: line 691, col 11, Duplicate key '𢽱'.
./lib/chinese.js: line 694, col 10, Duplicate key '㜝'.
./lib/chinese.js: line 695, col 11, Duplicate key '𢜰'.
./lib/chinese.js: line 698, col 11, Duplicate key '𣃳'.
./lib/chinese.js: line 710, col 10, Duplicate key '㐆'.
./lib/chinese.js: line 716, col 10, Duplicate key '㫃'.
./lib/chinese.js: line 727, col 11, Duplicate key '𢆶'.
./lib/chinese.js: line 751, col 10, Duplicate key '㔋'.
./lib/chinese.js: line 752, col 11, Duplicate key '𥌈'.
./lib/chinese.js: line 753, col 10, Duplicate key '㔋'.
./lib/chinese.js: line 758, col 11, Duplicate key '𡥈'.
./lib/chinese.js: line 767, col 10, Duplicate key '䇞'.
./lib/chinese.js: line 781, col 11, Duplicate key '𣓌'.
./lib/chinese.js: line 811, col 10, Duplicate key '㰾'.
./lib/chinese.js: line 812, col 11, Duplicate key '𢅎'.
./lib/chinese.js: line 832, col 10, Duplicate key '㝩'.
./lib/chinese.js: line 851, col 11, Duplicate key '𡢖'.
./lib/chinese.js: line 856, col 10, Duplicate key '䌠'.
./lib/chinese.js: line 860, col 10, Duplicate key '㹂'.
./lib/chinese.js: line 862, col 11, Duplicate key '𡔢'.
./lib/chinese.js: line 886, col 11, Duplicate key '𢜩'.
./lib/chinese.js: line 892, col 10, Duplicate key '㥓'.
./lib/chinese.js: line 894, col 10, Duplicate key '㹂'.
./lib/chinese.js: line 901, col 11, Duplicate key '𠞱'.
./lib/chinese.js: line 902, col 10, Duplicate key '㧁'.
./lib/chinese.js: line 913, col 11, Duplicate key '𠤄'.
./lib/chinese.js: line 931, col 10, Duplicate key '㪁'.
./lib/chinese.js: line 933, col 10, Duplicate key '㧁'.
./lib/chinese.js: line 949, col 10, Duplicate key '㸰'.
./lib/chinese.js: line 959, col 11, Duplicate key '𥢶'.
./lib/chinese.js: line 960, col 11, Duplicate key '𠠎'.
./lib/chinese.js: line 963, col 11, Duplicate key '𡢖'.
./lib/chinese.js: line 973, col 11, Duplicate key '𡈋'.
./lib/chinese.js: line 985, col 11, Duplicate key '𢜭'.
./lib/chinese.js: line 993, col 11, Duplicate key '𠐻'.
./lib/chinese.js: line 994, col 11, Duplicate key '𦀖'.
./lib/chinese.js: line 997, col 10, Duplicate key '㞆'.
./lib/chinese.js: line 1001, col 10, Duplicate key '㽱'.
./lib/chinese.js: line 1018, col 11, Duplicate key '𥴧'.
./lib/chinese.js: line 1021, col 11, Duplicate key '𥉁'.
./lib/chinese.js: line 1026, col 10, Duplicate key '㽱'.
./lib/chinese.js: line 1035, col 11, Duplicate key '𡚠'.
./lib/chinese.js: line 1051, col 10, Duplicate key '䌠'.
./lib/chinese.js: line 1056, col 11, Duplicate key '𢂷'.
./lib/chinese.js: line 1070, col 10, Duplicate key '㔶'.
./lib/chinese.js: line 1097, col 11, Duplicate key '𡐠'.
./lib/chinese.js: line 1099, col 10, Duplicate key '㰪'.
./lib/chinese.js: line 1116, col 10, Duplicate key '䐩'.
./lib/chinese.js: line 1133, col 10, Duplicate key '㔋'.
./lib/chinese.js: line 1137, col 10, Duplicate key '㝗'.
./lib/chinese.js: line 1188, col 10, Duplicate key '䇐'.
./lib/chinese.js: line 1191, col 10, Duplicate key '㾖'.
./lib/chinese.js: line 1196, col 10, Duplicate key '㹁'.
./lib/chinese.js: line 1213, col 10, Duplicate key '㙩'.
./lib/chinese.js: line 1259, col 11, Duplicate key '𠞭'.
./lib/chinese.js: line 1261, col 10, Duplicate key '㪖'.
./lib/chinese.js: line 1273, col 10, Duplicate key '㱻'.
./lib/chinese.js: line 1274, col 11, Duplicate key '𤼙'.
